annotator6	{"9303-4-1":2,"5213-6-1":2,"10809-7-1":3,"10328-0-0":1}
annotator6	{"717-0-0":1,"7071-0-4":2,"12262-1-0":3,"7957-0-0":2}
annotator6	{"783-0-0":2,"5900-0-0":2,"3199-1-0":3,"9591-6-1":1}
annotator6	{"3102-0-0":1,"12262-1-0":3,"10351-1-0":2,"3613-1-0":2}
annotator6	{"2839-0-2":1,"3613-1-0":2,"9888-0-0":2,"8139-0-0":3}
annotator6	{"5441-0-0":1,"5900-0-3":3,"10809-7-1":2,"10809-5-0":2}
annotator6	{"2839-0-2":1,"13372-0-6":2,"505-1-0":2,"10809-1-1":3}
annotator6	{"2839-0-2":1,"3977-0-0":2,"3560-1-0":3,"2637-1-0":2}
annotator6	{"10939-0-0":2,"5900-0-2":2,"10328-0-0":1,"3589-1-0":3}
annotator6	{"10320-2-0":2,"970-0-4":3,"10351-1-0":2,"10328-1-0":1}
annotator6	{"9303-4-1":2,"5213-6-8":1,"970-0-2":3,"8139-1-0":2}
annotator6	{"5064-3-0":3,"2883-0-2":1,"5900-0-0":2,"6036-2-0":2}
annotator6	{"2343-0-0":3,"10320-4-0":2,"9119-0-0":2,"10809-1-1":1}
annotator6	{"9303-1-2":2,"10809-7-1":1,"9963-1-0":2,"3199-1-0":3}
annotator6	{"10320-3-0":2,"7071-0-1":1,"11599-1-0":3,"10809-4-0":2}
annotator6	{"9297-0-0":3,"10165-0-1":2,"9888-0-0":1,"9963-0-0":2}
annotator6	{"9297-0-0":3,"10320-4-0":2,"7957-1-0":1,"3977-0-0":2}
annotator6	{"13446-0-1":1,"10035-0-0":3,"7071-0-1":2,"5900-0-0":2}
annotator6	{"4603-0-3":3,"2883-0-6":1,"5900-0-0":2,"3589-1-0":2}
annotator6	{"5064-1-0":2,"970-0-2":3,"11599-1-0":2,"505-1-0":1}
annotator6	{"13446-0-1":2,"2883-0-0":1,"5900-0-3":3,"10351-0-0":2}
annotator6	{"9591-7-0":1,"9591-4-2":2,"970-0-2":2,"3199-0-0":3}
annotator6	{"10035-0-0":3,"9591-7-0":2,"7957-1-0":1,"6036-2-0":2}
annotator6	{"7071-0-2":2,"7071-0-3":2,"9888-0-0":1,"11599-1-0":3}
annotator6	{"3613-1-0":1,"3613-0-0":2,"12754-1-0":2,"7676-1-0":3}
annotator6	{"2452-0-0":2,"9119-1-0":3,"3589-0-0":2,"13303-1-4":1}
annotator6	{"13446-0-1":2,"9591-0-0":1,"6036-1-0":2,"3199-1-0":3}
annotator6	{"10320-2-0":3,"13115-0-3":1,"505-1-0":2,"10809-4-0":2}
annotator6	{"13446-0-1":1,"4621-0-0":3,"10809-1-1":2,"10809-4-0":2}
annotator6	{"9303-4-1":3,"5213-6-0":2,"5900-0-0":2,"13303-7-1":1}
annotator6	{"13372-0-6":1,"7071-0-2":2,"5900-0-3":3,"12262-1-0":2}
annotator6	{"970-0-4":2,"970-0-2":2,"3589-0-0":1,"3977-1-0":3}
annotator6	{"12239-0-1":3,"5900-0-2":2,"5064-4-3":2,"505-1-0":1}
annotator6	{"10939-0-0":3,"2883-0-0":1,"9963-0-0":2,"505-1-0":2}
annotator6	{"10809-7-1":2,"5064-1-0":2,"3560-0-0":3,"10137-1-0":1}
annotator6	{"2883-0-2":1,"5213-6-1":2,"360-0-0":3,"9591-6-1":2}
annotator6	{"5118-0-0":2,"3713-0-1":2,"2883-0-6":1,"10320-3-0":3}
annotator6	{"5894-0-0":1,"3713-0-1":3,"5213-6-0":2,"7071-0-3":2}
annotator6	{"5118-0-0":2,"10809-7-1":2,"9888-0-0":1,"9119-0-0":3}
annotator6	{"12262-0-0":2,"10351-0-0":2,"13303-0-5":1,"10809-4-0":3}
annotator6	{"10939-0-0":3,"2883-0-3":1,"5900-0-1":2,"10328-1-0":2}
annotator6	{"2839-0-2":1,"9963-1-0":2,"3199-1-0":2,"11599-1-0":3}
annotator6	{"5118-0-0":2,"970-0-2":3,"8139-0-0":1,"4625-0-0":2}
annotator6	{"2452-0-0":2,"7462-0-3":2,"5990-0-0":3,"5213-6-0":1}
annotator6	{"2452-0-0":2,"10165-0-1":3,"970-0-4":2,"10351-0-0":1}
annotator6	{"2839-0-2":1,"717-0-0":2,"5064-3-0":3,"3713-0-1":2}
annotator6	{"1657-0-0":2,"4625-1-0":3,"9963-0-0":1,"11599-1-0":2}
annotator6	{"2839-0-2":2,"5064-1-0":3,"10351-1-0":2,"13303-7-1":1}
annotator6	{"10320-5-1":2,"5064-2-0":3,"3613-0-0":1,"11599-0-0":2}
annotator6	{"9591-4-2":1,"4603-0-3":3,"6036-2-0":2,"11816-0-0":2}
annotator6	{"10320-5-1":2,"5213-6-0":2,"12262-1-0":1,"3199-0-0":3}
annotator6	{"3139-0-1":2,"9591-0-0":1,"9119-1-0":2,"3199-0-0":3}
annotator6	{"1045-0-0":2,"3589-0-0":2,"11599-1-0":3,"13303-0-5":1}
annotator6	{"13372-0-6":1,"5900-0-0":3,"3613-0-0":2,"9591-0-0":2}
annotator6	{"2883-0-0":1,"10320-5-1":2,"11816-1-0":2,"11816-0-0":3}
annotator6	{"2343-0-0":3,"7071-0-4":2,"10328-0-0":1,"3199-0-0":2}
annotator6	{"5990-0-0":3,"9591-7-0":2,"10809-7-1":2,"13303-1-4":1}
annotator6	{"5826-0-0":1,"5064-2-0":3,"10809-7-1":2,"8139-0-0":2}
annotator6	{"5213-6-2":1,"7071-0-1":2,"5064-4-3":2,"4691-1-0":3}
annotator6	{"9303-1-2":2,"2883-0-3":1,"10165-0-1":3,"9119-1-0":2}
annotator6	{"5441-0-0":1,"3199-0-0":2,"11599-1-0":3,"2637-1-0":2}
annotator6	{"2839-0-2":1,"3613-0-0":3,"10328-1-0":2,"7957-0-0":2}
annotator6	{"10351-0-0":2,"3613-0-0":1,"2637-1-0":3,"4691-1-0":2}
annotator6	{"1657-0-0":3,"10320-2-0":2,"5118-0-0":2,"9303-3-0":1}
annotator6	{"134-0-0":1,"5900-0-3":2,"8139-1-0":2,"360-0-0":3}
annotator6	{"9303-4-1":2,"2343-0-0":3,"2883-0-2":1,"10165-0-2":2}
annotator6	{"13115-0-3":1,"13446-0-1":2,"3199-0-0":2,"360-1-0":3}
annotator6	{"5213-6-1":2,"10320-3-0":2,"11816-0-0":3,"505-1-0":1}
annotator6	{"9303-1-2":3,"12262-0-0":2,"10351-1-0":1,"10351-0-0":2}
annotator6	{"2839-0-2":1,"8139-1-0":2,"9119-1-0":2,"11816-0-0":3}
